OFFICIAL_GENE_SYMBOL	Name	Species
SRXN1	sulfiredoxin 1(SRXN1)	Homo sapiens
RNF225	ring finger protein 225(RNF225)	Homo sapiens
DSTNP2	destrin, actin depolymerizing factor pseudogene 2(DSTNP2)	Homo sapiens
LINC01555	long intergenic non-protein coding RNA 1555(LINC01555)	Homo sapiens
LOC105369632	uncharacterized LOC105369632(LOC105369632)	Homo sapiens
FGF21	fibroblast growth factor 21(FGF21)	Homo sapiens
ABAT	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens
ABCA2	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens
HESX1	HESX homeobox 1(HESX1)	Homo sapiens
EML3	echinoderm microtubule associated protein like 3(EML3)	Homo sapiens
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens
CATSPER4	cation channel sperm associated 4(CATSPER4)	Homo sapiens
ABR	active BCR-related(ABR)	Homo sapiens
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain(ACADS)	Homo sapiens
NAPG	NSF attachment protein gamma(NAPG)	Homo sapiens
TMIGD2	transmembrane and immunoglobulin domain containing 2(TMIGD2)	Homo sapiens
SESN2	sestrin 2(SESN2)	Homo sapiens
LOC108783645	HFE antisense RNA(LOC108783645)	Homo sapiens
MPDZ	multiple PDZ domain crumbs cell polarity complex component(MPDZ)	Homo sapiens
PPIAL4E	peptidylprolyl isomerase A like 4E(PPIAL4E)	Homo sapiens
ACR	acrosin(ACR)	Homo sapiens
LMNTD2	lamin tail domain containing 2(LMNTD2)	Homo sapiens
ACO1	aconitase 1(ACO1)	Homo sapiens
TNFRSF18	TNF receptor superfamily member 18(TNFRSF18)	Homo sapiens
ACP1	acid phosphatase 1, soluble(ACP1)	Homo sapiens
ABCC1	ATP binding cassette subfamily C member 1(ABCC1)	Homo sapiens
C20orf202	chromosome 20 open reading frame 202(C20orf202)	Homo sapiens
FBXO10	F-box protein 10(FBXO10)	Homo sapiens
TNFRSF10C	TNF receptor superfamily member 10c(TNFRSF10C)	Homo sapiens
ZNF587B	zinc finger protein 587B(ZNF587B)	Homo sapiens
TMEM259	transmembrane protein 259(TMEM259)	Homo sapiens
LINC00996	long intergenic non-protein coding RNA 996(LINC00996)	Homo sapiens
RIPK1	receptor interacting serine/threonine kinase 1(RIPK1)	Homo sapiens
ZNF57	zinc finger protein 57(ZNF57)	Homo sapiens
PGM5P4-AS1	PGM5P4 antisense RNA 1(PGM5P4-AS1)	Homo sapiens
ADAM15	ADAM metallopeptidase domain 15(ADAM15)	Homo sapiens
BREA2	breast cancer estrogen-induced apoptosis 2(BREA2)	Homo sapiens
IGSF23	immunoglobulin superfamily member 23(IGSF23)	Homo sapiens
CNBD2	cyclic nucleotide binding domain containing 2(CNBD2)	Homo sapiens
XXYLT1	xyloside xylosyltransferase 1(XXYLT1)	Homo sapiens
TNFAIP8L1	TNF alpha induced protein 8 like 1(TNFAIP8L1)	Homo sapiens
